"タイムスタンプ","あなたのCrowdWorks表示名（下記URLの右側に表示されているCrowdworks上のユーザー名）を記載して下さい。","性別","年齢 （例、25）","あなたの出身地を入力してください（例、大阪府）","今の時刻を入力してください","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、話している人の性格はどう感じましたか","このビデオにおいて、話している人のテンションはどう感じましたか","このビデオにおいて、話している人の性格はどう感じましたか","このビデオにおいて、話している人のテンションはどう感じましたか","このビデオにおいて、話している人の性格はどう感じましたか","このビデオにおいて、話している人のテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","活発だと思う","温和だと思う","鈍感だと思う","感情的だと思う","知性的だと思う","同調的だと思う","積極的だと思う","無神経だと思う","分析的だと思う","自責しがちだと思う","協力的だと思う","独創的だと思う","話好きだと思う","心配性だと思う","無責任だと思う","陽気だと思う","考察するのが好きだと思う","いい加減だと思う","穏やかだと思う","混乱しやすいと思う","本実験全体を通して、アバターとロボットの振る舞いの不自然さなど、お気づきの点や感想などを自由にお書きください。"
"2022/02/21 3:06:37 午後 GMT+9","fumygo","男","33","北海道","14:25","1","1","2","2","3","4","6","5","6","6","5","6","5","7","5","5","6","6","4","4","4","4","4","5","4","5","1","1","4","3","6","5","2","1","3","3","2","2","1","2","2","2","4","3","2","5","5","5","5","5","5","6","5","5","4","3","3","3","2","2","4","3","2","5","2","2","6","4","3","5","5","5","5","4","5","4","4","4","3","3","5","2","2","2","3","3","4","6","5","5","5","5","6","6","5","5","5","5","5","6","6","6","4","3","3","4","3","3","6","5","5","5","5","6","3","2","2","6","5","5","3","2","2","6","5","6","2","6","3","3","5","6","2","2","5","5","6","2","2","7","1","1","6","3","6","4","手を使ってジェスチャーするのは良い印象を受けました"
"2022/02/21 3:07:11 午後 GMT+9","sr15","女","37","山口県","14:28","2","1","4","5","5","6","5","6","4","6","7","4","7","6","6","5","5","6","2","3","2","4","3","2","3","4","1","1","4","5","3","4","3","2","5","5","2","2","1","6","2","2","4","3","3","7","5","5","7","6","6","5","3","4","6","3","2","4","5","2","2","3","2","3","5","5","7","3","5","3","4","2","1","2","1","6","3","3","4","5","4","3","2","2","6","5","6","5","6","5","7","7","6","6","4","5","5","4","5","5","7","6","4","3","3","3","2","2","5","6","4","5","4","5","3","2","2","4","5","4","5","3","3","5","2","3","1","5","3","2","2","7","1","2","3","7","7","1","1","7","3","1","2","5","5","6","滑らかな動きではなくて、ガクガクとした動き方をしていて不自然に見えることがありました。"
"2022/02/21 3:11:27 午後 GMT+9","tenkamt","男","45","長崎県","14:39","2","2","2","2","2","3","3","3","4","3","4","3","4","4","3","3","3","3","4","4","4","4","4","4","5","5","2","2","4","3","4","3","5","5","5","4","1","4","3","2","5","4","4","3","3","6","5","5","6","5","4","4","5","4","4","5","4","3","5","4","3","4","3","4","4","4","6","5","4","4","4","4","2","4","4","6","4","4","3","4","4","1","4","4","4","5","4","5","4","4","5","4","4","6","5","4","2","4","3","4","4","3","2","4","3","3","4","3","5","4","4","4","4","4","2","4","3","4","4","4","4","4","3","5","5","4","5","3","3","6","2","3","3","6","2","6","5","7","2","7","6","6","5","6","2","4","どうしても表情も見てしまうので、全体的にテンション低く感じてしまいました。"
"2022/02/21 3:17:19 午後 GMT+9","コーチャ","男","41","兵庫県","14:53","1","1","5","4","6","5","6","5","7","6","7","6","7","6","6","5","7","7","6","5","7","6","5","4","7","7","2","1","5","3","5","2","5","2","5","3","1","1","1","2","2","2","5","4","2","7","6","4","6","6","5","5","5","4","5","6","6","4","6","5","5","6","4","6","7","6","7","7","5","4","7","7","3","5","3","6","6","5","7","6","6","1","4","3","3","5","5","2","5","5","6","7","6","7","6","5","5","5","4","3","5","5","2","3","2","6","5","5","7","7","7","5","6","6","3","2","2","5","5","4","3","3","3","3","4","3","3","7","2","2","6","6","3","2","6","4","6","3","3","4","1","3","6","2","7","1","左手と右手のジェスチャーが噛み合っていなかったり、話の流れ的に動かす側の手を変える必要がないような時に動かす手を変えたのがあったので人間ならあまりしないんじゃないかなと思って見てました。"
"2022/02/21 3:20:39 午後 GMT+9","kintogaga","男","42","石川県","14:28","2","2","4","2","3","4","4","1","5","3","5","5","4","3","4","4","3","5","4","5","6","5","5","2","5","4","4","1","3","3","6","6","6","4","6","5","3","5","4","2","5","4","3","5","3","5","6","6","6","7","6","5","6","6","3","6","4","5","5","3","5","4","3","3","4","3","7","5","4","2","4","5","2","3","3","7","6","4","3","5","6","3","6","5","5","6","5","6","6","4","3","6","6","7","5","4","4","6","5","3","6","6","5","3","2","3","4","4","6","5","4","4","6","5","5","3","4","3","5","5","5","4","3","7","6","5","6","7","3","6","6","5","6","2","6","4","6","6","3","4","1","4","6","2","6","1","アバターの顔が下を向いているかどうかで、最初のセクションは印象ががらりと変わりました。ただ音声がつくとその印象が薄く感じられ、音声による印象に置き換わっているように感じました。最後のセクションは動作がおとなしいほうが違和感が薄かったです。アバターと違い、ロボットの動きにぎこちなさを感じたせいかもしれません。"
"2022/02/21 3:23:40 午後 GMT+9","fukan12","男","44","熊本県","14:47","3","3","2","1","3","2","3","2","5","4","3","3","5","4","4","3","5","4","4","4","5","5","4","3","5","3","1","1","3","2","4","3","3","3","5","4","1","3","2","2","3","2","4","4","4","5","6","5","6","6","5","5","5","4","5","4","5","3","4","3","4","3","3","4","4","3","7","5","4","5","4","3","4","3","3","6","5","6","6","4","5","4","5","5","2","5","5","3","5","5","5","5","5","6","5","5","5","4","4","5","4","4","3","4","2","5","5","5","6","4","5","5","5","6","4","4","3","4","3","3","3","3","3","4","3","3","5","5","5","2","4","3","4","3","5","4","6","2","4","3","3","5","5","3","5","3","時折会話とそのトーンにピッタリの動きをするロボットがあったように思います。なかなか難しかったです。"
"2022/02/21 3:49:12 午後 GMT+9","ma20020607","女","45","茨城県","15:25","2","2","3","2","4","4","3","2","4","4","5","4","5","5","5","4","5","5","4","5","4","4","4","3","5","5","1","1","5","4","3","2","4","3","4","5","1","1","1","1","2","2","3","3","2","4","5","4","5","5","5","4","4","4","4","5","4","5","5","4","4","4","3","6","5","5","6","5","5","6","6","5","2","3","3","6","4","4","4","4","4","3","3","3","4","4","4","4","5","5","5","5","5","6","5","5","4","4","4","5","5","5","4","3","3","5","5","5","6","6","6","6","6","6","2","2","2","5","5","4","4","3","3","4","4","4","5","4","4","5","4","5","5","4","4","5","6","3","6","7","2","6","5","3","4","5","動作と話が合ってると聞きやすい"
"2022/02/21 4:51:54 午後 GMT+9","m23","女","22","埼玉県","16:26","2","2","3","4","5","4","5","2","2","5","6","2","6","5","5","2","4","5","3","4","4","2","4","3","5","3","2","1","4","4","3","2","2","2","5","4","1","2","2","2","1","3","2","4","3","5","7","6","7","7","5","6","5","3","6","1","1","4","2","1","5","2","2","6","3","4","7","5","2","5","2","2","5","2","2","5","2","4","2","3","5","2","4","4","2","3","6","5","5","4","5","4","2","6","3","2","4","2","5","6","5","6","5","2","2","4","5","3","5","6","4","5","5","2","4","1","2","3","2","5","2","1","2","5","4","6","2","4","1","6","5","6","3","4","6","6","5","4","6","6","5","2","5","3","3","5","アバターがずっと俯いていてロボットは目が合い続けていた気がするのですが、視線だけでだいぶ印象が違う気がしました。"
"2022/02/21 4:54:50 午後 GMT+9","Luina","女","24","埼玉県","16:29","1","1","2","2","4","4","3","4","5","5","5","5","6","6","5","5","6","6","6","6","6","6","5","5","6","6","1","1","5","5","4","4","4","4","4","4","2","2","4","2","2","4","2","3","4","5","4","4","6","5","4","5","4","4","6","5","4","4","4","4","4","3","4","5","5","4","7","6","4","4","4","4","2","3","4","6","5","4","3","4","4","3","2","2","2","4","4","5","4","4","5","4","4","6","5","4","6","3","3","6","4","4","6","2","3","5","4","4","6","5","4","5","4","4","4","2","2","3","4","4","4","2","2","5","2","2","2","4","2","5","5","7","1","2","5","7","6","1","7","7","1","4","7","5","4","7","言葉の流れと頷きのタイミングが合うと自然に見えると思った。明らかに機械である見た目のロボットから自然な人間の発話が聞こえてくると、逆に違和感がある気もした。(機械っぽい話し方の方が自然？)"
"2022/02/21 4:59:51 午後 GMT+9"," toramaru0","女","25","奈良県","16:29","2","1","4","2","5","4","2","2","5","5","5","4","6","5","5","4","5","3","4","3","5","3","4","3","5","4","2","2","4","3","3","3","3","4","4","4","2","3","3","3","3","3","4","3","4","6","6","4","6","4","4","4","3","4","4","4","3","3","4","4","4","3","2","4","3","2","7","4","4","3","4","4","2","2","2","7","4","4","3","3","2","2","2","3","4","4","4","5","4","4","4","5","4","6","5","4","4","4","2","5","5","5","4","3","3","4","3","4","4","5","4","5","5","4","5","4","5","3","3","2","3","3","2","4","5","5","2","1","5","7","1","4","2","6","2","4","3","2","2","7","6","3","2","7","2","7","ロボットの身振り手振りが小さければ小さい程、内向的に感じるが同時に圧のようなものが強くなっている気がした。"
"2022/02/21 5:01:24 午後 GMT+9","WEB-room","女","25","京都府","16:37","1","2","3","4","6","6","5","6","6","6","7","7","7","7","5","6","5","7","3","5","5","6","5","3","6","7","1","1","2","3","5","4","3","4","4","4","3","2","2","2","5","2","2","5","5","6","5","5","5","6","6","5","6","6","2","5","3","4","6","5","2","6","3","4","6","4","7","7","7","6","6","7","1","6","3","7","7","7","6","6","7","1","6","2","4","6","5","3","6","4","7","6","7","7","7","7","7","7","7","7","7","7","6","6","6","6","6","6","4","6","5","4","5","6","3","5","3","6","6","6","4","6","5","3","6","4","5","5","5","5","6","3","5","3","6","6","3","5","5","7","2","5","6","2","6","2","アバターは哲学的、ロボットはお人形的"
"2022/02/21 5:03:13 午後 GMT+9","mikalemon","女","23","大阪府","16:27","2","2","4","4","4","5","6","4","6","4","5","4","5","4","3","4","4","4","3","3","3","4","4","3","5","4","2","2","3","3","3","4","4","3","4","5","3","2","2","5","3","4","3","4","4","4","5","5","5","4","4","3","5","5","6","5","4","3","2","3","4","3","3","3","3","4","6","4","4","2","4","4","2","2","2","4","4","4","3","3","4","3","3","4","4","4","4","3","4","4","3","4","5","5","4","5","5","4","4","3","4","3","3","3","3","4","3","4","3","4","4","3","4","4","4","3","3","4","4","4","4","3","4","5","5","5","2","3","4","5","2","3","1","5","1","2","2","1","1","5","5","2","3","4","4","3","何度も同じような音声を聞き続けていると、声や喋り方に変化があるのかがあまりわからなくなってきて他の動画のものと同じ喋りなのかどうかなど、そういう点が気になって仕方がなかった"
"2022/02/21 5:09:10 午後 GMT+9","supershit666","男","29","東京都","16:26","1","1","3","2","4","3","3","2","4","4","3","3","4","3","4","4","4","4","3","4","4","3","4","3","4","4","4","3","4","4","2","3","3","3","3","4","1","3","4","1","3","4","2","3","3","5","4","4","4","5","4","3","4","4","2","3","3","4","4","3","6","5","4","5","5","5","7","6","4","4","4","5","2","3","4","7","6","5","3","3","4","2","2","3","3","4","4","5","5","4","4","6","5","6","6","5","4","5","4","6","6","5","3","4","4","3","4","5","6","6","6","4","5","5","4","3","3","5","4","5","3","3","3","5","5","5","2","3","4","6","3","7","1","4","6","3","4","1","4","7","5","5","3","3","2","5","同じ動きでも音声の有無で受ける印象がかなり違うことに驚いた。"
